"","Sample_ID","Site_name","Region","Phase_2","d13C16","d13C18"
"1","OBD02I","Obaru D","Kyushu","Jomon",-28.966,-29.628
"2","OBD08I","Obaru D","Kyushu","Jomon",-28.004,-29.212
"3","OBD17I","Obaru D","Kyushu","Jomon",-24.47,-25.268
"4","OBD20I","Obaru D","Kyushu","Jomon",-22.845,-22.822
"5","RMM02I","Ryumatsu Mizota","Kyushu","Jomon",-27.531,-29.102
"6","RMM07I","Ryumatsu Mizota","Kyushu","Jomon",-29.267,-28.833
"7","RMM08I","Ryumatsu Mizota","Kyushu","Jomon",-27.385,-26.6
"8","SHC01I","Shimotsukiguma C","Kyushu","Yayoi",-27.131,-26.486
"9","SHC05I","Shimotsukiguma C","Kyushu","Yayoi",-29.573,-29.332
"10","SHC06I","Shimotsukiguma C","Kyushu","Yayoi",-27.506,-27.248
"11","SHC07I","Shimotsukiguma C","Kyushu","Yayoi",-25.752,-26.51
"12","SHC10I","Shimotsukiguma C","Kyushu","Yayoi",-26.748,-26.849
"13","SHC13I","Shimotsukiguma C","Kyushu","Yayoi",-25.682,-25.919
"14","SHC14I","Shimotsukiguma C","Kyushu","Yayoi",-27.106,-26.394
"15","SHC19I","Shimotsukiguma C","Kyushu","Yayoi",-25.261,-26.536
"16","SHC25I","Shimotsukiguma C","Kyushu","Yayoi",-27.851,-26.907
"17","SHC27I","Shimotsukiguma C","Kyushu","Yayoi",-26.589,-28.027
"18","SAS01I","Sasai","Kyushu","Yayoi",-29.034,-28.029
"19","SAS03I","Sasai","Kyushu","Yayoi",-30.775,-31.193
"20","SAS04I","Sasai","Kyushu","Yayoi",-31.571,-30.434
"21","SAS06I","Sasai","Kyushu","Yayoi",-30.762,-30.878
"22","SAS07I","Sasai","Kyushu","Yayoi",-17.116,-22.4
"23","SAS08I","Sasai","Kyushu","Yayoi",-29.295,-29.582
"24","SAS10I","Sasai","Kyushu","Yayoi",-28.258,-27.538
"25","SAS12I","Sasai","Kyushu","Yayoi",-29.135,-29.301
"26","SAS16I","Sasai","Kyushu","Yayoi",-23.221,-25.247
"27","SAS17I","Sasai","Kyushu","Yayoi",-30.072,-29.88
"28","SAS20I","Sasai","Kyushu","Yayoi",-29.649,-30.98
"29","SAS23I","Sasai","Kyushu","Yayoi",-29.546,-29.224
"30","SAS24I","Sasai","Kyushu","Yayoi",-30.164,-29.682
"31","SAS26I","Sasai","Kyushu","Yayoi",-29.785,-29.519
"32","SAS28I","Sasai","Kyushu","Yayoi",-29.651,-29.444
"33","SAS30I","Sasai","Kyushu","Yayoi",-26.489,-26.079
"34","SAS31I","Sasai","Kyushu","Yayoi",-30.088,-29.668
"35","SAS35FI","Sasai","Kyushu","Yayoi",-29.351,-29.022
"36","NBK001FI","Nabatake","Kyushu","Yayoi",-27.636,-28.212
"37","NBK002FI","Nabatake","Kyushu","Yayoi",-23.735,-24.605
"38","NBK003FI","Nabatake","Kyushu","Yayoi",-32.55,-32.475
"39","NBK004FI","Nabatake","Kyushu","Yayoi",-21.404,-21.351
"40","NBK005FI","Nabatake","Kyushu","Yayoi",-24.915,-25.888
"41","NBK006FI","Nabatake","Kyushu","Yayoi",-22.844,-23.483
"42","NBK007FI","Nabatake","Kyushu","Yayoi",-26.189,-25.75
"43","NBK008FI","Nabatake","Kyushu","Yayoi",-21.111,-22.056
"44","NBK009FI","Nabatake","Kyushu","Yayoi",-31.286,-31.565
"45","NBK010FI","Nabatake","Kyushu","Yayoi",-33.324,-32.239
"46","NBK011FI","Nabatake","Kyushu","Yayoi",-22.746,-24.396
"47","NBK012FI","Nabatake","Kyushu","Yayoi",-23.423,-23.964
"48","DPR001","Daepyong-ri","Hoseo","Mumun",-30.01,-29.73
"49","DPR003","Daepyong-ri","Hoseo","Mumun",-28.36,-29.32
"50","DPR007","Daepyong-ri","Hoseo","Mumun",-24.36,-24.07
"51","DPR008","Daepyong-ri","Hoseo","Mumun",-27.63,-26.82
"52","DPR009","Daepyong-ri","Hoseo","Mumun",-24.16,-23.85
"53","DPR011","Daepyong-ri","Hoseo","Mumun",-17.35,-18.53
"54","DPR013","Daepyong-ri","Hoseo","Mumun",-29.45,-29.83
"55","DPR014","Daepyong-ri","Hoseo","Mumun",-29.17,-29.8
"56","DPR016","Daepyong-ri","Hoseo","Mumun",-29.92,-30.622
"57","DPR017","Daepyong-ri","Hoseo","Mumun",-29.221,-30.189
"58","DPR019","Daepyong-ri","Hoseo","Mumun",-25.18,-24.15
"59","DPR020","Daepyong-ri","Hoseo","Mumun",-29.07,-29.57
"60","DPR025","Daepyong-ri","Hoseo","Mumun",-29.308,-30.076
