"Sources.x","Concd13C16","Concd13C18","Observaton","Sources.y","d13C16","d13C18"
"Marine",0.114959447467355,0.0537220046876387,1,"Marine",-22.1,-21.77
"Marine",0.179026063695007,0.0567735187785198,2,"Marine",-22.36,-22.19
"Marine",0.190324910262493,0.0179962625951083,3,"Marine",-23.38,-22.76
"Marine",0.172785982249073,0.0620590296728556,4,"Marine",-21.6,-20.97
"Marine",0.142893665624549,0.0548499779742604,5,"Marine",-21.45,-21.09
"Marine",0.120329754185266,0.035219290484146,6,"Marine",-25.25,-24.91
"Marine",0.0947102019199816,0.0232352488347947,7,"Marine",-26.59,-25.07
"Marine",0.175473376996603,0.0355817338633583,8,"Marine",-22.58,-22.96
"Marine",0.154297872866203,0.0173259677008833,9,"Marine",-19.39,-20.3
"Marine",0.0958297296672453,0.0420575853353271,10,"Marine",-24.52,-21.74
"Marine",0.103438154133377,0.00947308434039157,11,"Marine",-24.64,-23.1
"Marine",0.179587768444713,0.022901409920923,12,"Marine",-23.25,-22.78
"Marine",0.178596645453595,0.0382411036866513,13,"Marine",-24.72,-23.68
"Marine",0.132151433234621,0.016504351404471,14,"Marine",-23.26,-23.51
"Marine",0.108908589468706,0.0553311362772881,15,"Marine",-25.2,-23.7
"Marine",0.168807702737544,0.0496106106863872,16,"Marine",-22.9,-21.2
"Marine",0.114057251737575,0.0194276554341556,17,"Marine",-24.4,-23.8
"Marine",0.188827657715751,0.0450583413179681,18,"Marine",-19.4,-20
"Marine",0.189455057769867,0.0265327181921471,19,"Marine",-24.9,-23
"Marine",0.135358690473689,0.0387802197351291,20,"Marine",-24.5,-21.6
"Marine",0.121896905341835,0.0499248508501312,21,"Marine",-23.9,-23.6
"Marine",0.15224366634511,0.05956330514627,22,"Marine",-24,-25.3
"Marine",0.126927834939107,0.0251919746764485,23,"Marine",-23.7,-22.6
"Marine",0.114417720558902,-0.00417804663307041,24,"Marine",-24.6,-23.8
"Marine",0.176928881478067,0.0243369032612789,25,"Marine",-24.9,-25.6
