id,date,error,region,calcurve,Period,Site,Feature
gg130,2670,50,Gyeonggi,intcal13,Mumun,Ansan Manjeongri Singi,Zone 3 Mumun 1
gg131,2530,50,Gyeonggi,intcal13,Mumun,Ansan Manjeongri Singi,Zone 3 Mumun 2
gg132,2470,50,Gyeonggi,intcal13,Mumun,Ansan Manjeongri Singi,Zone 3 Mumun 3
gg133,2590,50,Gyeonggi,intcal13,Mumun,Ansan Manjeongri Singi,Zone 3 Mumun 4
gg134,2920,50,Gyeonggi,intcal13,Mumun,Ansan Manjeongri Singi,Zone 4 Mumun 1
gg135,2840,50,Gyeonggi,intcal13,Mumun,Ansan Manjeongri Singi,Zone 5 Mumun 1
gg136,2921,36,Gyeonggi,intcal13,Mumun,Ansan Manjeongri Singi,Zone 5 Mumun 2
neo052,4720,50,Gyeonggi,intcal13,Chulmun,Ansan Singildong,no 1
neo055,4710,50,Gyeonggi,intcal13,Chulmun,Ansan Singildong,no 10
neo079,4530,50,Gyeonggi,intcal13,Chulmun,Ansan Singildong,no 11
neo056,4700,50,Gyeonggi,intcal13,Chulmun,Ansan Singildong,no 2
neo072,4610,50,Gyeonggi,intcal13,Chulmun,Ansan Singildong,no 21
neo065,4650,50,Gyeonggi,intcal13,Chulmun,Ansan Singildong,no 22
neo054,4710,50,Gyeonggi,intcal13,Chulmun,Ansan Singildong,no 4
neo046,4760,50,Gyeonggi,intcal13,Chulmun,Ansan Singildong,no 5
neo071,4620,50,Gyeonggi,intcal13,Chulmun,Ansan Singildong,no 6
neo073,4600,50,Gyeonggi,intcal13,Chulmun,Ansan Singildong,no 7
gg137,2900,40,Gyeonggi,intcal13,Mumun,Ansung Banjeri,Mumun 4
gg138,3020,80,Gyeonggi,intcal13,Mumun,Ansung Banjeri,Mumun 5
gg139,2903,57,Gyeonggi,intcal13,Mumun,Ansung Banjeri,no 2
gg140,2950,60,Gyeonggi,intcal13,Mumun,Anyang Gwanyangdong,no 1
gg141,2370,90,Gyeonggi,intcal13,Mumun,Anyang Gwanyangdong,no 2
gg142,2680,60,Gyeonggi,intcal13,Mumun,Anyang Gwanyangdong,no 3
gg143,2740,40,Gyeonggi,intcal13,Mumun,Anyang Gwanyangdong,no 4
gg144,2870,50,Gyeonggi,intcal13,Mumun,Anyang Gwanyangdong,no 5
gg145,2740,40,Gyeonggi,intcal13,Mumun,Anyang Gwanyangdong,no 6
gg147,2535,29,Gyeonggi,intcal13,Mumun,Anyang Gwanyangdong,no 7
gg146,2440,60,Gyeonggi,intcal13,Mumun,Anyang Gwanyangdong,no 8
cc436,2406,39,Chungcheong,intcal13,Mumun,Anyeongri,no 10
neo143,4470,60,Chungcheong,intcal13,Chulmun,Asan Baekamri Jeombaegol,KC-002
neo136,4610,80,Chungcheong,intcal13,Chulmun,Asan Baekamri Jeombaegol,KC-003
cc414,2851,29,Chungcheong,intcal13,Mumun,Asan Baekamri Jeombaegol,KC-004
cc299,2470,50,Chungcheong,intcal13,Mumun,Asan Daechuri,no 10
cc300,2470,40,Chungcheong,intcal13,Mumun,Asan Daechuri,no 11
cc528,2510,40,Chungcheong,intcal13,Mumun,Asan Daechuri,no 12
cc529,2480,40,Chungcheong,intcal13,Mumun,Asan Daechuri,no 13
cc301,2550,40,Chungcheong,intcal13,Mumun,Asan Daechuri,no 14
cc530,2410,50,Chungcheong,intcal13,Mumun,Asan Daechuri,no 16
cc303,2520,40,Chungcheong,intcal13,Mumun,Asan Daechuri,no 17
cc525,2660,40,Chungcheong,intcal13,Mumun,Asan Daechuri,no 2
cc526,2490,40,Chungcheong,intcal13,Mumun,Asan Daechuri,no 3
cc527,2420,40,Chungcheong,intcal13,Mumun,Asan Daechuri,no 4
cc302,2660,40,Chungcheong,intcal13,Mumun,Asan Daechuri,no 6
cc308,2776,37,Chungcheong,intcal13,Mumun,Asan Daeheungri Keunseonjang,no 1
cc310,2850,50,Chungcheong,intcal13,Mumun,Asan Daeheungri Keunseonjang,no 11
cc311,2860,36,Chungcheong,intcal13,Mumun,Asan Daeheungri Keunseonjang,no 14
cc309,2520,100,Chungcheong,intcal13,Mumun,Asan Daeheungri Keunseonjang,no 3
cc367,2680,50,Chungcheong,intcal13,Mumun,Asan Dunpori,II-4
neo137,4550,50,Chungcheong,intcal13,Chulmun,Asan Jangjaeri Anganggol 1,Chulmun 2
neo140,4500,80,Chungcheong,intcal13,Chulmun,Asan Jangjaeri Anganggol 1,Chulmun 4
cc312,2796,36,Chungcheong,intcal13,Mumun,Asan Jangjaeri Anganggol 1,Mumun 1
cc316,2830,60,Chungcheong,intcal13,Mumun,Asan Jangjaeri Anganggol 1,Mumun 11
cc313,2980,80,Chungcheong,intcal13,Mumun,Asan Jangjaeri Anganggol 1,Mumun 3
cc314,2790,50,Chungcheong,intcal13,Mumun,Asan Jangjaeri Anganggol 1,Mumun 7
cc315,2950,60,Chungcheong,intcal13,Mumun,Asan Jangjaeri Anganggol 1,Mumun 8
cc112,2910,40,Chungcheong,intcal13,Mumun,Asan Myungamri,no 1
cc150,2797,43,Chungcheong,intcal13,Mumun,Asan Myungamri 11,Early Mumun 14
cc149,2591,29,Chungcheong,intcal13,Mumun,Asan Myungamri 11,Early Mumun 7
cc151,2566,29,Chungcheong,intcal13,Mumun,Asan Myungamri 11,Middle Mumun 6
cc152,2480,40,Chungcheong,intcal13,Mumun,Asan Myungamri 11,Middle Mumun 7
cc332,2820,50,Chungcheong,intcal13,Mumun,Asan Myungamri 12,no 20
cc333,2860,60,Chungcheong,intcal13,Mumun,Asan Myungamri 12,no 22
cc334,2520,50,Chungcheong,intcal13,Mumun,Asan Myungamri 12,no 28
cc329,2810,50,Chungcheong,intcal13,Mumun,Asan Myungamri 12,no 4
cc330,2700,50,Chungcheong,intcal13,Mumun,Asan Myungamri 12,no 7
cc331,2850,50,Chungcheong,intcal13,Mumun,Asan Myungamri 12,no 9
cc92,2820,50,Chungcheong,intcal13,Mumun,Asan Myungamri Bakjimeure,II-1-9
cc93,2700,50,Chungcheong,intcal13,Mumun,Asan Myungamri Bakjimeure,II-2-4
cc450,2730,40,Chungcheong,intcal13,Mumun,Asan Myungamri Gobteogol,II-10
cc451,2650,40,Chungcheong,intcal13,Mumun,Asan Myungamri Gobteogol,II-23
cc449,2870,40,Chungcheong,intcal13,Mumun,Asan Myungamri Gobteogol,II-6
cc452,2860,40,Chungcheong,intcal13,Mumun,Asan Myungamri Gobteogol,III-8
cc94,2758,36,Chungcheong,intcal13,Mumun,Asan Namsungri,I-12
cc95,2570,36,Chungcheong,intcal13,Mumun,Asan Namsungri,I-14
cc96,2670,50,Chungcheong,intcal13,Mumun,Asan Namsungri,I-15
cc97,2400,50,Chungcheong,intcal13,Mumun,Asan Namsungri,II-7
cc132,2850,60,Chungcheong,intcal13,Mumun,Asan Punggidong,no 1
cc133,2860,50,Chungcheong,intcal13,Mumun,Asan Punggidong Apgol,Mumun 1
cc142,2980,50,Chungcheong,intcal13,Mumun,Asan Punggidong Apgol,Mumun 15
cc141,3040,50,Chungcheong,intcal13,Mumun,Asan Punggidong Apgol,Mumun 16
cc136,2970,50,Chungcheong,intcal13,Mumun,Asan Punggidong Apgol,Mumun 17
cc140,3030,50,Chungcheong,intcal13,Mumun,Asan Punggidong Apgol,Mumun 18
cc134,2690,50,Chungcheong,intcal13,Mumun,Asan Punggidong Apgol,Mumun 2
cc135,2660,50,Chungcheong,intcal13,Mumun,Asan Punggidong Apgol,Mumun 24
cc137,2880,50,Chungcheong,intcal13,Mumun,Asan Punggidong Apgol,Mumun 3
cc138,2850,50,Chungcheong,intcal13,Mumun,Asan Punggidong Apgol,Mumun 5
cc139,3020,50,Chungcheong,intcal13,Mumun,Asan Punggidong Apgol,Mumun 9
cc143,2718,37,Chungcheong,intcal13,Mumun,Asan Punggidong Bamjulgil,no 4
cc144,2750,100,Chungcheong,intcal13,Mumun,Asan Punggidong Bamjulgil,no 5
cc145,2820,50,Chungcheong,intcal13,Mumun,Asan Punggidong Bamjulgil 2,no 12
cc359,2660,50,Chungcheong,intcal13,Mumun,Asan Seokgokri,A-5-1
cc124,2470,24,Chungcheong,intcal13,Mumun,Asan Sijeonri,no 1
neo135,4640,60,Chungcheong,intcal13,Chulmun,Asan Sungnaeri,no 2
neo134,4660,50,Chungcheong,intcal13,Chulmun,Asan Sungnaeri,no 4
neo151,4360,36,Chungcheong,intcal13,Chulmun,Asan Yongduri Buguiri,Na-2
cc262,2830,40,Chungcheong,intcal13,Mumun,Asan Yongduri Jinteo,no 11
cc258,2720,40,Chungcheong,intcal13,Mumun,Asan Yongduri Jinteo,no 12
cc253,2780,40,Chungcheong,intcal13,Mumun,Asan Yongduri Jinteo,no 19
cc255,2820,40,Chungcheong,intcal13,Mumun,Asan Yongduri Jinteo,no 20
cc252,2770,40,Chungcheong,intcal13,Mumun,Asan Yongduri Jinteo,no 21
cc257,2920,50,Chungcheong,intcal13,Mumun,Asan Yongduri Jinteo,no 24
cc260,2840,40,Chungcheong,intcal13,Mumun,Asan Yongduri Jinteo,no 25
cc259,2710,40,Chungcheong,intcal13,Mumun,Asan Yongduri Jinteo,no 27
cc256,2510,40,Chungcheong,intcal13,Mumun,Asan Yongduri Jinteo,no 30
cc261,2730,40,Chungcheong,intcal13,Mumun,Asan Yongduri Jinteo,no 6
cc254,2810,40,Chungcheong,intcal13,Mumun,Asan Yongduri Jinteo,no 9
cc177,2840,40,Chungcheong,intcal13,Mumun,Asan Yongduri Sangol,I-1-2
cc178,2824,29,Chungcheong,intcal13,Mumun,Asan Yongduri Sangol,II-1-1
cc184,2550,44,Chungcheong,intcal13,Mumun,Asan Yongduri Sangol,II-1-11
