Count,Sherd sample Database Individual  number,Sherd_ID_original ,Sample_ID,Vessel_ID,Site_code,Site_name,Country,Region,Latitude ,Longitude ,Phase,Phase_2,Sample_type,Yield_AE,d13C16,d13C18,bigD,Miliacin,Aquatic,AE GC-MS Scan Data file ,TMTD,Pristanic ,Phytanic,SRR_RRR ,APAA_range,APAA_C18_area ,APAA_C20_area ,APAA_EH,APAA_20_18,
1,ENC186,cx 67-11,OBD01IAE,OBD01,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,2.3,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
2,ENC187,cx 69-52,OBD02IAE,OBD02,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,11.4,-28.966,-29.628,-0.662,no,no,2021_07_12_MB,no,tr,no,,,0,0,,,
3,ENC188,cx 69,OBD03IAE,OBD03,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,0.7,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
4,ENC189,cx 69-22,OBD04IAE,OBD04,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,1.6,,,,no,no,2021_07_12_MB,no,tr,tr,,,0,0,,,
5,ENC190,cx 69-52,OBD05IAE,OBD05,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,4.1,,,,no,no,2021_07_12_MB,no,tr,tr,,,0,0,,,
6,ENC191,cx 69-69,OBD06IAE,OBD06,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,5,,,,no,no,2021_07_12_MB,no,tr,no,,,0,0,,,
7,ENC192,cx 69-52,OBD07IAE,OBD07,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,1.5,,,,no,no,2021_07_12_MB,no,tr,tr,,,0,0,,,
8,ENC193,cx 69-63,OBD08IAE,OBD08,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,13.8,-28.004,-29.212,-1.207,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
9,ENC194,cx 68-9,OBD09IAE,OBD09,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,10.7,,,,no,no,2021_07_12_MB,no,tr,no,,,0,0,,,
10,ENC195,cx 69-1,OBD10IAE,OBD10,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,6.1,,,,no,no,2021_07_12_MB,no,tr,no,,,0,0,,,
