Category,NDB_NO,Source,Percent_C16_dryweight,Percent_C18_dryweight,Total lipid (weight),Ab_Percent_C16,Ab_Percent_C18,PS ratio,Percent_C16,Percent_C18
Marine,15001,"Fish, anchovy, european, raw",0.715,0.252,4.84,0.15,0.05,2.84,0.74,0.26
Marine,15003,"Fish, bass, fresh water, mixed species, raw",0.593,0.1,3.69,0.16,0.03,5.93,0.86,0.14
Marine,15187,"Fish, bass, freshwater, mixed species, cooked, dry heat",0.761,0.128,4.73,0.16,0.03,5.95,0.86,0.14
Marine,15188,"Fish, bass, striped, cooked, dry heat",0.486,0.11,2.99,0.16,0.04,4.42,0.82,0.18
Marine,15004,"Fish, bass, striped, raw",0.379,0.086,2.33,0.16,0.04,4.41,0.82,0.18
Marine,15005,"Fish, bluefish, raw",0.576,0.16,4.24,0.14,0.04,3.6,0.78,0.22
Marine,15190,"Fish, burbot, cooked, dry heat",0.154,0.047,1.04,0.15,0.05,3.28,0.77,0.23
Marine,15006,"Fish, burbot, raw",0.12,0.037,0.81,0.15,0.05,3.24,0.76,0.24
Marine,15017,"Fish, cod, Atlantic, canned, solids and liquid",0.116,0.038,0.86,0.13,0.04,3.05,0.75,0.25
Marine,15016,"Fish, cod, Atlantic, cooked, dry heat",0.117,0.038,0.86,0.14,0.04,3.08,0.75,0.25
Marine,15018,"Fish, cod, Atlantic, dried and salted",0.321,0.106,2.37,0.14,0.04,3.03,0.75,0.25
Marine,15015,"Fish, cod, Atlantic, raw",0.091,0.03,0.67,0.14,0.04,3.03,0.75,0.25
Marine,15269,"Fish, cod, Pacific, cooked (not previously frozen)",0.036,0.01,0.25,0.14,0.04,3.6,0.78,0.22
Marine,15192,"Fish, cod, Pacific, cooked, dry heat (may have been previously frozen)",0.07,0.026,0.5,0.14,0.05,2.69,0.73,0.27
Marine,15019,"Fish, cod, Pacific, raw (may have been previously frozen)",0.057,0.021,0.41,0.14,0.05,2.71,0.73,0.27
Marine,15268,"Fish, cod, Pacific, raw (not previously frozen)",0.029,0.008,0.2,0.15,0.04,3.63,0.78,0.22
Marine,15021,"Fish, croaker, Atlantic, cooked, breaded and fried",2.194,1.193,12.67,0.17,0.09,1.84,0.65,0.35
Marine,15020,"Fish, croaker, Atlantic, raw",0.836,0.203,3.17,0.26,0.06,4.12,0.8,0.2
Marine,15195,"Fish, drum, freshwater, cooked, dry heat",1.118,0.182,6.32,0.18,0.03,6.14,0.86,0.14
Marine,15029,"Fish, flatfish (flounder and sole species), cooked, dry heat",0.346,0.065,2.37,0.15,0.03,5.32,0.84,0.16
Marine,15028,"Fish, flatfish (flounder and sole species), raw",0.282,0.053,1.93,0.15,0.03,5.32,0.84,0.16
