Region,SiteName,Site description,,Latitude,Longitude,Individual ID,Taxon common name,Sex,Age category individual,Sample type,Min age (95%),Max age (95%),Dating method,14C,14C unc,Period_tags,Period_2,Group,d13C_coll,delta 13C coll_err,d15N_coll,delta 15N coll_err,Collagen yield,,%C,%N,C/N,Reference
Kyushu,Ohtomo,Cemetery,,33.32,129.54,02-Jan,Human,M,Middle adult,Limb,-700,-400,Pottery cross dating,,,Early Yayoi,Yayoi,"Ohtomo, Yayoi",-15,0.5,13,0.5,,,2.8,,,"Mihara, S., K.Miyamoto, T.Nakamura, H.Koike (2004) 14C age determination for human bones during the Yayoi period ? the calibration ambiguity around 2400 BP and the marine reservoir effect. Nuclear Instruments & Methods in Physics Research B 223-224: 700-704."
Kyushu,Ohtomo,Cemetery,,33.32,129.54,6,Human,M,Middle adult,Limb,-760,-420,Radiocarbon,2640,,Final Jomon,Late Jomon,"Ohtomo, Jomon",-15.1,0.5,12,0.5,,,2.8,,,"Mihara, S., K.Miyamoto, T.Nakamura, H.Koike (2004) 14C age determination for human bones during the Yayoi period ? the calibration ambiguity around 2400 BP and the marine reservoir effect. Nuclear Instruments & Methods in Physics Research B 223-224: 700-704."
Kyushu,Ohtomo,Cemetery,,33.32,129.54,8,Human,F,Middle adult,Limb,-750,-415,Radiocarbon,2630,,Final Jomon,Late Jomon,"Ohtomo, Jomon",-14.7,0.5,12,0.5,,,2.9,,,"Mihara, S., K.Miyamoto, T.Nakamura, H.Koike (2004) 14C age determination for human bones during the Yayoi period ? the calibration ambiguity around 2400 BP and the marine reservoir effect. Nuclear Instruments & Methods in Physics Research B 223-224: 700-704."
Kyushu,Ohtomo,Cemetery,,33.32,129.54,3,Human,M,Middle adult,Limb,-745,-405,Radiocarbon,2595,,Final Jomon,Late Jomon,"Ohtomo, Jomon",-15.6,0.5,11.5,0.5,,,2.8,,,"Mihara, S., K.Miyamoto, T.Nakamura, H.Koike (2004) 14C age determination for human bones during the Yayoi period ? the calibration ambiguity around 2400 BP and the marine reservoir effect. Nuclear Instruments & Methods in Physics Research B 223-224: 700-704."
Kyushu,Ohtomo,Cemetery,,33.32,129.54,02-Apr,Human,M,Middle adult,Limb,-735,-365,Radiocarbon,2525,,Final Jomon,Late Jomon,"Ohtomo, Jomon",-16,0.5,11,0.5,,,2.8,,,"Mihara, S., K.Miyamoto, T.Nakamura, H.Koike (2004) 14C age determination for human bones during the Yayoi period ? the calibration ambiguity around 2400 BP and the marine reservoir effect. Nuclear Instruments & Methods in Physics Research B 223-224: 700-704."
Kyushu,Ohtomo,Cemetery,,33.32,129.54,5,Human,M,Adult,Limb,-665,-375,Radiocarbon,2570,,Final Jomon,Late Jomon,"Ohtomo, Jomon",-14.6,0.5,12.2,0.5,,,2.9,,,"Mihara, S., K.Miyamoto, T.Nakamura, H.Koike (2004) 14C age determination for human bones during the Yayoi period ? the calibration ambiguity around 2400 BP and the marine reservoir effect. Nuclear Instruments & Methods in Physics Research B 223-224: 700-704."
Kyushu,Ohtomo,Cemetery,,33.32,129.54,1,Human,M,Adult,Limb,-740,-405,Radiocarbon,2600,,Early Yayoi,Yayoi,"Ohtomo, Yayoi",-15.3,0.5,12.6,0.5,,,2.8,,,"Mihara, S., K.Miyamoto, T.Nakamura, H.Koike (2004) 14C age determination for human bones during the Yayoi period ? the calibration ambiguity around 2400 BP and the marine reservoir effect. Nuclear Instruments & Methods in Physics Research B 223-224: 700-704."
Kyushu,Ohtomo,Cemetery,,33.32,129.54,36,Human,,,Limb,-520,-375,Radiocarbon,2505,,Early Yayoi,Yayoi,"Ohtomo, Yayoi",-16,0.5,12.1,0.5,,,3.5,,,"Mihara, S., K.Miyamoto, T.Nakamura, H.Koike (2004) 14C age determination for human bones during the Yayoi period ? the calibration ambiguity around 2400 BP and the marine reservoir effect. Nuclear Instruments & Methods in Physics Research B 223-224: 700-704."
Kyushu,Ohtomo,Cemetery,,33.32,129.54,35,Human,,,Limb,-200,25,Radiocarbon,2240,,Early Yayoi,Yayoi,"Ohtomo, Yayoi",-15.1,0.5,12.9,0.5,,,2.8,,,"Mihara, S., K.Miyamoto, T.Nakamura, H.Koike (2004) 14C age determination for human bones during the Yayoi period ? the calibration ambiguity around 2400 BP and the marine reservoir effect. Nuclear Instruments & Methods in Physics Research B 223-224: 700-704."
Kyushu,Ohtomo,Cemetery,,33.32,129.54,14,Human,F,Adult,Limb,-395,-220,Radiocarbon,,2245,Middle Yayoi,Yayoi,"Ohtomo, Yayoi",-14.6,0.5,13.8,0.5,,,2.9,,,"Mihara, S., K.Miyamoto, T.Nakamura, H.Koike (2004) 14C age determination for human bones during the Yayoi period ? the calibration ambiguity around 2400 BP and the marine reservoir effect. Nuclear Instruments & Methods in Physics Research B 223-224: 700-704."
