LabCode,SiteName,Region,CRA,CRAError,Material,Source,comments,Exclude
136469,Hayashiiseki,Japan,650,40,rice,Crema et al 2022,,
?,Kitashirakawa-Oiwakecho,Japan,2530,20,foxtail millet,Leipe et al 2019,,
Beta-125667,Mudeung-ri,South Korea,1260,60,rice,Ahn (2012),,
Beta-145777,Sanada・Kitakanabeisekigun,Japan,1970,40,rice,Crema et al 2022,,
Beta-145778,Sanada・Kitakanabeisekigun,Japan,2000,40,rice,Crema et al 2022,,
Beta-145779,Sanada・Kitakanabeisekigun,Japan,1860,40,rice,Crema et al 2022,,
Beta-152889,Tsushimaiseki,Japan,1970,40,rice,Crema et al 2022,,
Beta-159752,Aoyakamijichiiseki,Japan,2140,40,rice,Crema et al 2022,,
Beta-159754,Aoyakamijichiiseki,Japan,2150,40,rice,Crema et al 2022,,
Beta-159755,Aoyakamijichiiseki,Japan,2110,40,rice,Crema et al 2022,,
Beta-161153,Sanwakogyodanchi3iseki,Japan,1610,50,rice,Crema et al 2022,,
Beta-162483,Asahiyama(2)iseki,Japan,1010,40,rice,Crema et al 2022,,
Beta-173934,Asahiyama(2)iseki,Japan,1160,40,rice,Crema et al 2022,,
Beta-175421,Numamukaiiseki,Japan,1510,40,rice,Crema et al 2022,,
Beta-175422,Numamukaiiseki,Japan,1530,40,rice,Crema et al 2022,,
Beta-181423,Sasai Fukuoka,Japan,2660,40,rice,Crema et al 2022,,
Beta-182492,Karako・Kagiiseki,Japan,2140,40,foxtail millet,Kudo et al 2023,,
Beta-182501,Karako・Kagiiseki,Japan,2490,50,rice,Crema et al 2022,,
Beta-185250,Shimoigosasagawaiseki,Japan,1880,40,rice,Crema et al 2022,,
Beta-185251,Shimoigosasagawaiseki,Japan,1820,40,rice,Crema et al 2022,,
Beta-185252,Shimoigosasagawaiseki,Japan,1910,40,rice,Crema et al 2022,,
Beta-185253,Shimoigosasagawaiseki,Japan,1790,40,rice,Crema et al 2022,,
Beta-185254,Shimoigosasagawaiseki,Japan,1950,40,rice,Crema et al 2022,,
Beta-185255,Shimoigosasagawaiseki,Japan,1900,40,rice,Crema et al 2022,,
Beta-185256,Shimoigosasagawaiseki,Japan,1820,40,rice,Crema et al 2022,,
Beta-185257,Shimoigosasagawaiseki,Japan,1850,40,rice,Crema et al 2022,,
Beta-187219,Nakazatoiseki,Japan,2320,40,rice,Crema et al 2022,,
Beta-188823,Numamukaiiseki,Japan,1490,40,rice,Crema et al 2022,,
Beta-188824,Numamukaiiseki,Japan,1490,40,rice,Crema et al 2022,,
Beta-195074,Otanijiriiseki,Japan,2220,40,rice,Crema et al 2022,,
Beta-195079,Otanijiriiseki,Japan,2040,40,rice,Crema et al 2022,,
Beta-200251,Yumutaiseki,Japan,1820,40,rice,Crema et al 2022,,
Beta-201569,Motomiyakumadobiseki,Japan,430,40,rice,Crema et al 2022,,
Beta-203995,K435iseki,Japan,1310,40,broomcorn millet,Kudo et al 2023,,
Beta-203999,K435iseki,Japan,1210,40,foxtail millet,Kudo et al 2023,,
Beta-205808,Oeisekigun,Japan,1450,40,rice,Crema et al 2022,,
Beta-205809,Oeisekigun,Japan,1490,40,rice,Crema et al 2022,,
Beta-208541,Ichinawakamidai1iseki,Japan,1780,40,rice,Crema et al 2022,,
Beta-208542,Ichinawakamidai1iseki,Japan,1770,40,rice,Crema et al 2022,,
Beta-210494,Nakayashikiiseki,Japan,2430,40,foxtail millet,Kudo et al 2023,,
Beta-211776,Hirataisekiechiten,Japan,2190,40,rice,Crema et al 2022,,
Beta-215715,Karako・Kagiiseki,Japan,2100,40,rice,Crema et al 2022,,
Beta-218283,Kokkobaruiseki,Japan,1950,40,rice,Crema et al 2022,,
Beta-218286,Kokkobaruiseki,Japan,2060,40,rice,Crema et al 2022,,
Beta-225348,Miyanohigashiiseki,Japan,1210,40,rice,Crema et al 2022,,
Beta-225386,Himegozeiseki,Japan,710,40,rice,Crema et al 2022,,
Beta-225500,Horogoru,South Korea,1390,40,rice,Ahn (2012),,
Beta-226069,Shimomuraiseki,Japan,2270,40,rice,Crema et al 2022,,
Beta-226071,Shimomuraiseki,Japan,2300,40,rice,Crema et al 2022,,
Beta-229830,Hwageum-ri,South Korea,1220,40,rice,Ahn (2012),,
Beta-229831,Hwageum-ri,South Korea,1480,40,rice,Ahn (2012),,
Beta-229832,Hwageum-ri,South Korea,1440,40,rice,Ahn (2012),,
Beta-252972,Pyeonggeodong,South Korea,4340,40,broomcorn millet,Lee (2011); Ahn (2012); Leipe et al 2019,This site is 7km from Pyeongjudong II so could even be same site depending on accuracy of geo-coordinates in databases,
Beta-252973,Neunggokdong,South Korea,4770,40,foxtail millet,Lee (2011); Ahn (2012); National Museum (2015); Leipe et al 2019,Double checked against National Museums (2015) . Note this date is  entered once incorrectly as 4740+/-40 BP in Ahn (2012); but is consistent with other citations in another table,
Beta-331065,Ishigo(3)Iseki,Japan,40,30,rice,Crema et al 2022,,
Beta-340384,Nagayoshitenjindaniseki,Japan,50,30,rice,Crema et al 2022,,
Beta-420403,Yokaichijikataiseki,Japan,2080,30,rice,Crema et al 2022,,
Beta-420404,Yokaichijikataiseki,Japan,2250,30,rice,Crema et al 2022,,
Beta-430181,Bunkyoiseki,Japan,210,30,rice,Crema et al 2022,,
Beta-548173,Fukutomimatsunomae,Japan,2460,23,rice,Crema et al 2022,,
Beta-548181,Fukutomimatsunomae,Japan,2471,20,rice,Crema et al 2022,,
Beta-549729,Fukutomimatsunomae,Japan,2559,22,rice,Crema et al 2022,,
Combined_TKA23237_TKA23238,Etsujiiseki,Japan,2568,28,rice,Crema et al 2022,,
Gak-1852,Hyakatsukadai5,Japan,1750,90,rice,Crema et al 2022,,
GaK-6695,Hotaruzawaiseki,Japan,1530,120,rice,Crema et al 2022,,
IAA-11832,Suginodoiseki,Japan,1090,30,rice,Crema et al 2022,,
IAA-141615,Hosoiketeramichiueiseki,Japan,884,23,rice,Crema et al 2022,,
IAA-141616,Hosoiketeramichiueiseki,Japan,649,24,rice,Crema et al 2022,,
IAAA-101083,Daisensoubouato,Japan,610,23,rice,Crema et al 2022,,
IAAA-101084,Daisensoubouato,Japan,550,24,rice,Crema et al 2022,,
IAAA-102180,K518isekidai3ji,Japan,1260,30,broomcorn millet,Kudo et al 2023,,
IAAA-102181,K518isekidai3ji,Japan,1270,30,broomcorn millet,Kudo et al 2023,,
IAAA-103552,Aburaden(1)Iseki,Japan,1036,26,rice,Crema et al 2022,,
IAAA-10597,Shinpujoato,Japan,340,20,rice,Crema et al 2022,,
IAAA-10652,Wano1iseki,Japan,960,30,rice,Crema et al 2022,,
