"","number","Sample_ID","Category","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%"
"1","p","DPR_001_SS20201111","Marine",0.306,0.074,0.169,0.188,0.255,0.303,0.356,0.432,0.456
"2","p","DPR_003_SS20201111","Marine",0.265,0.161,0.034,0.048,0.139,0.242,0.365,0.566,0.628
"3","p","DPR_007_SS20201106","Marine",0.381,0.235,0.036,0.056,0.177,0.349,0.566,0.793,0.845
"4","p","DPR_008_SS20201106","Marine",0.336,0.195,0.039,0.059,0.179,0.316,0.472,0.686,0.749
"5","p","DPR_009_SS20201106","Marine",0.371,0.236,0.036,0.053,0.167,0.335,0.551,0.793,0.849
"6","p","DPR_011_SS20201106","Marine",0.091,0.082,0.009,0.013,0.037,0.07,0.121,0.23,0.281
"7","p","DPR_013_SS20201106","Marine",0.217,0.141,0.026,0.038,0.108,0.192,0.298,0.484,0.557
"8","p","DPR_014_SS20201106","Marine",0.229,0.148,0.028,0.04,0.114,0.202,0.315,0.508,0.583
"9","p","DPR_019","Marine",0.384,0.233,0.037,0.053,0.182,0.364,0.562,0.791,0.842
"10","p","DPR_020_SS20201111","Marine",0.236,0.148,0.03,0.044,0.122,0.212,0.325,0.517,0.583
"11","p","DPR_026_SS20201111","Marine",0.375,0.216,0.044,0.063,0.191,0.361,0.538,0.747,0.8
"12","p","DPR_031_SS20201111","Marine",0.367,0.21,0.042,0.063,0.192,0.35,0.524,0.735,0.792
"13","p","DPR_032_SS20201111","Marine",0.39,0.231,0.04,0.059,0.194,0.367,0.57,0.795,0.844
"14","p","DPR-016_IAE","Marine",0.183,0.126,0.024,0.034,0.088,0.156,0.248,0.428,0.5
"15","p","DPR-017_IAE","Marine",0.218,0.143,0.029,0.04,0.108,0.19,0.298,0.496,0.568
"16","p","DPR-025_IAE","Marine",0.216,0.143,0.028,0.039,0.105,0.187,0.295,0.496,0.561
"17","p","DPR-033_IAE","Marine",0.241,0.153,0.032,0.046,0.123,0.214,0.33,0.529,0.604
"18","p","JKR01","Marine",0.375,0.224,0.035,0.055,0.183,0.357,0.546,0.767,0.817
"19","p","JKR04","Marine",0.356,0.206,0.04,0.062,0.188,0.334,0.504,0.72,0.782
"20","p","JKR10","Marine",0.374,0.222,0.037,0.055,0.186,0.356,0.545,0.762,0.809
"21","p","JKR11","Marine",0.218,0.142,0.029,0.041,0.11,0.19,0.297,0.492,0.567
"22","p","JKR12","Marine",0.259,0.16,0.034,0.048,0.132,0.233,0.357,0.564,0.633
"23","p","MJR_16_SS20201111","Marine",0.322,0.187,0.042,0.061,0.175,0.297,0.447,0.665,0.729
"24","p","MJR_20_SS20201126","Marine",0.225,0.143,0.03,0.043,0.114,0.198,0.31,0.496,0.563
"25","p","MJR_22_SS20201126","Marine",0.317,0.188,0.038,0.055,0.163,0.295,0.446,0.658,0.732
"26","p","MJR_27_SS20201126","Marine",0.392,0.231,0.042,0.061,0.194,0.372,0.571,0.787,0.84
"27","p","MJR_29_SS20201126","Marine",0.381,0.217,0.045,0.063,0.2,0.363,0.545,0.758,0.814
"28","p","MJR_34_SS20201126","Marine",0.381,0.218,0.045,0.066,0.2,0.362,0.546,0.762,0.818
"29","p","MJR_38_SS20201126","Marine",0.366,0.214,0.042,0.06,0.187,0.345,0.523,0.743,0.798
"30","p","MJR_39_SS20201126","Marine",0.376,0.223,0.039,0.058,0.182,0.356,0.547,0.761,0.817
"31","p","MJR_43_SS20201130","Marine",0.375,0.215,0.043,0.062,0.192,0.359,0.535,0.751,0.8
"32","p","MJR_44_SS20201130","Marine",0.38,0.216,0.043,0.064,0.199,0.363,0.544,0.75,0.806
"33","p","MJR-037_IAE","Marine",0.175,0.122,0.022,0.031,0.084,0.149,0.238,0.407,0.483
"34","p","MJR01","Marine",0.24,0.151,0.031,0.045,0.124,0.215,0.327,0.528,0.594
"35","p","MJR02","Marine",0.36,0.212,0.038,0.056,0.184,0.339,0.516,0.731,0.79
"36","p","MJR04","Marine",0.369,0.214,0.04,0.061,0.188,0.35,0.536,0.742,0.793
"37","p","MJR06","Marine",0.117,0.113,0.011,0.015,0.045,0.086,0.153,0.306,0.386
"38","p","MJR08","Marine",0.351,0.201,0.043,0.065,0.185,0.329,0.495,0.713,0.772
"39","p","MJR09","Marine",0.375,0.246,0.032,0.048,0.162,0.332,0.572,0.819,0.858
"40","p","MJR10","Marine",0.152,0.143,0.014,0.019,0.058,0.112,0.199,0.403,0.557
"41","p","MJR12","Marine",0.308,0.232,0.028,0.041,0.122,0.244,0.446,0.79,0.851
"42","p","MSR02","Marine",0.299,0.176,0.043,0.06,0.157,0.278,0.415,0.621,0.692
"43","p","MSR03","Marine",0.391,0.228,0.043,0.062,0.197,0.371,0.571,0.786,0.836
"44","p","MSR04","Marine",0.32,0.186,0.04,0.06,0.172,0.301,0.445,0.656,0.725
"45","p","MSR05","Marine",0.387,0.221,0.044,0.067,0.201,0.371,0.556,0.771,0.824
"46","p","MSR07","Marine",0.383,0.228,0.038,0.059,0.188,0.359,0.562,0.781,0.833
"47","p","MSR09","Marine",0.386,0.228,0.041,0.06,0.192,0.365,0.562,0.779,0.83
"48","p","NBK001FIAE","Marine",0.31,0.182,0.04,0.057,0.163,0.289,0.431,0.645,0.712
"49","p","NBK002FIAE","Marine",0.379,0.237,0.035,0.052,0.175,0.346,0.566,0.797,0.847
"50","p","NBK003FIAE","Marine",0.09,0.067,0.011,0.016,0.042,0.075,0.121,0.215,0.253
"51","p","NBK004FIAE","Marine",0.247,0.211,0.019,0.029,0.092,0.183,0.33,0.744,0.83
"52","p","NBK005FIAE","Marine",0.391,0.226,0.045,0.063,0.197,0.377,0.568,0.779,0.833
"53","p","NBK006FIAE","Marine",0.347,0.238,0.031,0.046,0.148,0.297,0.517,0.798,0.856
"54","p","NBK007FIAE","Marine",0.377,0.215,0.043,0.064,0.196,0.36,0.538,0.752,0.805
"55","p","NBK008FIAE","Marine",0.26,0.214,0.021,0.032,0.098,0.195,0.358,0.744,0.832
"56","p","NBK009FIAE","Marine",0.126,0.093,0.015,0.022,0.058,0.104,0.169,0.306,0.36
"57","p","NBK010FIAE","Marine",0.081,0.06,0.01,0.014,0.037,0.067,0.11,0.195,0.233
"58","p","NBK011FIAE","Marine",0.361,0.241,0.033,0.048,0.156,0.314,0.548,0.805,0.852
"59","p","NBK012FIAE","Marine",0.366,0.235,0.034,0.051,0.166,0.326,0.538,0.796,0.853
"60","p","OBD02IAE","Marine",0.238,0.15,0.03,0.045,0.122,0.213,0.326,0.523,0.588
"61","p","OBD08IAE","Marine",0.282,0.17,0.036,0.052,0.148,0.259,0.391,0.603,0.672
"62","p","OBD17IAE","Marine",0.388,0.231,0.042,0.06,0.189,0.366,0.572,0.79,0.837
"63","p","OBD20IAE","Marine",0.329,0.234,0.03,0.043,0.134,0.275,0.48,0.795,0.857
"64","p","RMM02IAE","Marine",0.302,0.177,0.04,0.057,0.16,0.278,0.417,0.634,0.695
"65","p","RMM07IAE","Marine",0.243,0.153,0.031,0.045,0.123,0.219,0.336,0.528,0.596
"66","p","RMM08IAE","Marine",0.345,0.2,0.041,0.063,0.181,0.323,0.486,0.705,0.766
"67","p","SAS01IAE","Marine",0.27,0.164,0.033,0.05,0.142,0.245,0.375,0.581,0.653
"68","p","SAS03IAE","Marine",0.148,0.105,0.018,0.026,0.071,0.124,0.199,0.35,0.411
"69","p","SAS04IAE","Marine",0.142,0.1,0.018,0.026,0.067,0.12,0.192,0.331,0.389
"70","p","SAS06IAE","Marine",0.155,0.109,0.02,0.027,0.073,0.131,0.211,0.364,0.421
"71","p","SAS07IAE","Marine",0.127,0.137,0.012,0.017,0.048,0.09,0.158,0.34,0.515
"72","p","SAS08IAE","Marine",0.226,0.147,0.028,0.041,0.113,0.197,0.312,0.502,0.581
"73","p","SAS10IAE","Marine",0.304,0.179,0.038,0.056,0.161,0.28,0.423,0.635,0.703
"74","p","SAS12IAE","Marine",0.238,0.15,0.032,0.045,0.12,0.212,0.326,0.521,0.585
"75","p","SAS16IAE","Marine",0.377,0.239,0.037,0.055,0.169,0.342,0.565,0.8,0.846
"76","p","SAS17IAE","Marine",0.196,0.129,0.025,0.036,0.096,0.172,0.267,0.433,0.502
"77","p","SAS20IAE","Marine",0.187,0.13,0.023,0.032,0.089,0.16,0.254,0.435,0.502
"78","p","SAS23IAE","Marine",0.227,0.147,0.028,0.042,0.113,0.2,0.311,0.508,0.576
"79","p","SAS24IAE","Marine",0.197,0.13,0.027,0.037,0.099,0.173,0.267,0.441,0.516
"80","p","SAS26IAE","Marine",0.213,0.139,0.027,0.039,0.106,0.186,0.292,0.474,0.544
"81","p","SAS28IAE","Marine",0.221,0.143,0.03,0.043,0.111,0.194,0.301,0.489,0.573
"82","p","SAS30IAE","Marine",0.371,0.21,0.044,0.064,0.198,0.351,0.527,0.735,0.796
"83","p","SAS31IAE","Marine",0.199,0.132,0.025,0.035,0.099,0.175,0.272,0.446,0.514
"84","p","SAS35FIAE","Marine",0.232,0.146,0.031,0.044,0.118,0.208,0.32,0.508,0.586
"85","p","SHC01IAE","Marine",0.352,0.203,0.042,0.062,0.184,0.333,0.498,0.717,0.768
"86","p","SHC05IAE","Marine",0.224,0.144,0.029,0.043,0.112,0.199,0.306,0.501,0.567
"87","p","SHC06IAE","Marine",0.329,0.192,0.039,0.058,0.174,0.309,0.464,0.676,0.74
"88","p","SHC07IAE","Marine",0.379,0.217,0.042,0.062,0.2,0.359,0.544,0.753,0.807
"89","p","SHC10IAE","Marine",0.359,0.206,0.042,0.06,0.188,0.34,0.505,0.728,0.791
"90","p","SHC13IAE","Marine",0.384,0.217,0.044,0.067,0.204,0.366,0.547,0.76,0.815
"91","p","SHC14IAE","Marine",0.354,0.206,0.041,0.062,0.182,0.333,0.501,0.726,0.779
"92","p","SHC19IAE","Marine",0.386,0.22,0.044,0.067,0.202,0.369,0.555,0.768,0.814
"93","p","SHC25IAE","Marine",0.325,0.19,0.039,0.057,0.17,0.304,0.456,0.67,0.73
"94","p","SHC27IAE","Marine",0.347,0.198,0.041,0.062,0.186,0.33,0.487,0.698,0.763
"95","p","SON002","Marine",0.36,0.209,0.04,0.059,0.183,0.346,0.517,0.726,0.78
"96","p","SON003","Marine",0.336,0.194,0.042,0.061,0.177,0.317,0.47,0.685,0.752
