"","Site_code","n","mean.conc","sd.conc","n_lipid","%interp"
"1","OBD",31,20.162141019731,56.2351765341731,19,61.2903225806452
"2","RMM",30,7.47662521304354,14.9872600049255,6,20
"3","SHC",29,107.932876022826,326.567804419352,20,68.9655172413793
"4","SAS",33,13.7577273400665,14.8783227999219,24,72.7272727272727
"5","MSR",10,25.552,18.60094967707,10,100
"6","DPR",17,24.1764705882353,28.384052067397,17,100
"7","SDR",7,13.7728571428571,6.62039705326328,7,100
"8","SWR",5,11.11,5.33014071108822,5,100
"9","JKR",12,16.6016666666667,17.0134619604238,11,91.6666666666667
"10","KCR",10,7.305,2.60017200285759,8,80
"11","MJR",26,55.8411538461538,47.9580059074122,26,100
