"","Site_code","n","mean.conc","sd.conc","n_lipid","%interp"
"1","OBD",31,20.158064516129,56.2375240931625,19,61.2903225806452
"2","RMM",30,7.47666666666667,14.9871405414507,6,20
"3","SHC",29,107.933103448276,326.567748036884,20,68.9655172413793
"4","SAS",33,13.7575757575758,14.8788043518084,24,72.7272727272727
"5","MSR",10,25.552,18.60094967707,10,100
"6","DPR",34,15.3235294117647,21.7586215420049,32,94.1176470588235
"7","SDR",7,13.7728571428571,6.62039705326328,7,100
"8","SWR",5,11.11,5.33014071108822,5,100
"9","JKR",12,16.6016666666667,17.0134619604238,11,91.6666666666667
"10","KCR",10,7.305,2.60017200285759,8,80
"11","MJR",44,36.2697727272727,43.6831914078522,43,97.7272727272727
