"","Sample_ID","Site_name","Region","Phase_2","d13C16","d13C18"
"1","OBD02IAE","Obaru D","Kyushu","Jomon",-28.966,-29.628
"2","OBD08IAE","Obaru D","Kyushu","Jomon",-28.004,-29.212
"3","OBD17IAE","Obaru D","Kyushu","Jomon",-24.47,-25.268
"4","OBD20IAE","Obaru D","Kyushu","Jomon",-22.845,-22.822
"5","RMM02IAE","Ryumatsu Mizota","Kyushu","Jomon",-27.531,-29.102
"6","RMM07IAE","Ryumatsu Mizota","Kyushu","Jomon",-29.267,-28.833
"7","RMM08IAE","Ryumatsu Mizota","Kyushu","Jomon",-27.385,-26.6
"8","SHC01IAE","Shimotsukiguma C","Kyushu","Yayoi",-27.131,-26.486
"9","SHC05IAE","Shimotsukiguma C","Kyushu","Yayoi",-29.573,-29.332
"10","SHC06IAE","Shimotsukiguma C","Kyushu","Yayoi",-27.506,-27.248
"11","SHC07IAE","Shimotsukiguma C","Kyushu","Yayoi",-25.752,-26.51
"12","SHC10IAE","Shimotsukiguma C","Kyushu","Yayoi",-26.748,-26.849
"13","SHC13IAE","Shimotsukiguma C","Kyushu","Yayoi",-25.682,-25.919
"14","SHC14IAE","Shimotsukiguma C","Kyushu","Yayoi",-27.106,-26.394
"15","SHC19IAE","Shimotsukiguma C","Kyushu","Yayoi",-25.261,-26.536
"16","SHC25IAE","Shimotsukiguma C","Kyushu","Yayoi",-27.851,-26.907
"17","SHC27IAE","Shimotsukiguma C","Kyushu","Yayoi",-26.589,-28.027
"18","SAS01IAE","Sasai","Kyushu","Yayoi",-29.034,-28.029
"19","SAS03IAE","Sasai","Kyushu","Yayoi",-30.775,-31.193
"20","SAS04IAE","Sasai","Kyushu","Yayoi",-31.571,-30.434
"21","SAS06IAE","Sasai","Kyushu","Yayoi",-30.762,-30.878
"22","SAS07IAE","Sasai","Kyushu","Yayoi",-17.116,-22.4
"23","SAS08IAE","Sasai","Kyushu","Yayoi",-29.295,-29.582
"24","SAS10IAE","Sasai","Kyushu","Yayoi",-28.258,-27.538
"25","SAS12IAE","Sasai","Kyushu","Yayoi",-29.135,-29.301
"26","SAS16IAE","Sasai","Kyushu","Yayoi",-23.221,-25.247
"27","SAS17IAE","Sasai","Kyushu","Yayoi",-30.072,-29.88
"28","SAS20IAE","Sasai","Kyushu","Yayoi",-29.649,-30.98
"29","SAS23IAE","Sasai","Kyushu","Yayoi",-29.546,-29.224
"30","SAS24IAE","Sasai","Kyushu","Yayoi",-30.164,-29.682
"31","SAS26IAE","Sasai","Kyushu","Yayoi",-29.785,-29.519
"32","SAS28IAE","Sasai","Kyushu","Yayoi",-29.651,-29.444
"33","SAS30IAE","Sasai","Kyushu","Yayoi",-26.489,-26.079
"34","SAS31IAE","Sasai","Kyushu","Yayoi",-30.088,-29.668
"35","SAS35FIAE","Sasai","Kyushu","Yayoi",-29.351,-29.022
"36","NBK001FIAE","Nabatake","Kyushu","Yayoi",-27.636,-28.212
"37","NBK002FIAE","Nabatake","Kyushu","Yayoi",-23.735,-24.605
"38","NBK003FIAE","Nabatake","Kyushu","Yayoi",-32.55,-32.475
"39","NBK004FIAE","Nabatake","Kyushu","Yayoi",-21.404,-21.351
"40","NBK005FIAE","Nabatake","Kyushu","Yayoi",-24.915,-25.888
"41","NBK006FIAE","Nabatake","Kyushu","Yayoi",-22.844,-23.483
"42","NBK007FIAE","Nabatake","Kyushu","Yayoi",-26.189,-25.75
