"Sources","d13C16","d13C18"
"Marine",-22.1,-21.77
"Marine",-22.36,-22.19
"Marine",-23.38,-22.76
"Marine",-21.6,-20.97
"Marine",-21.45,-21.09
"Marine",-25.25,-24.91
"Marine",-26.59,-25.07
"Marine",-22.58,-22.96
"Marine",-19.39,-20.3
"Marine",-24.52,-21.74
"Marine",-24.64,-23.1
"Marine",-23.25,-22.78
"Marine",-24.72,-23.68
"Marine",-23.26,-23.51
"Marine",-25.2,-23.7
"Marine",-22.9,-21.2
"Marine",-24.4,-23.8
"Marine",-19.4,-20
"Marine",-24.9,-23
"Marine",-24.5,-21.6
"Marine",-23.9,-23.6
"Marine",-24,-25.3
"Marine",-23.7,-22.6
"Marine",-24.6,-23.8
"Marine",-24.9,-25.6
"Marine",-24.6,-22.9
"Marine",-24.7,-23.7
"Marine",-28.01,-28.72
"Marine",-25.22,-26.79
"Marine",-26.01,-27.33
"Marine",-26.74,-26.72
"Marine",-27.64,-27.88
"Marine",-25.83,-26.24
"Marine",-25.02,-23.31
"Marine",-26.72,-25.28
"Marine",-24.26,-24.64
"Marine",-28.57,-29.08
"Marine",-25.76,-24.75
"Marine",-24.62,-23.54
"Marine",-26.62,-25.61
"Millet",-19.4,-18.4
"Millet",-19.8,-18.8
"Millet",-19.4,-19.5
"Millet",-19.5,-20
"Millet",-17.8,-17.4
"Millet",-19.5,-20
"Millet",-17.8,-17.4
"Millet",-19.3,-20
"Millet",-17.8,-18.5
"Millet",-17.3,-18.2
"Millet",-15.1,-15.1
"Millet",-15.6,-16.4
"Millet",-15.5,-14
"Millet",-17.1,-15.7
"Millet",-16.3,-15.9
"Millet",-15,-16.3
"Rice",-35.1,-35.5
"Rice",-34.7,-35.1
"Rice",-34,-33.8
"Rice",-33.5,-33.7
"Rice",-33.1,-33.3
"Rice",-34.3,-33.7
"Rice",-33,-33.2
"Rice",-33.2,-33.7
"Rice",-34.3,-33.8
"Rice",-32.7,-33
"Rice",-32,-32.9
"Rice",-34.1,-33.6
"Rice",-32.8,-33.4
"Rice",-31.4,-32.2
"Rice",-31.7,-32.5
"Rice",-31.2,-31.4
"Rice",-32.5,-32.5
"Rice",-32.8,-34.3
"Rice",-34.1,-35.3
"Rice",-33.6,-33.8
"Rice",-33.9,-34.5
"Rice",-33,-32.7
"Wild ruminant",-28.74,-28.8
"Wild ruminant",-28.58,-30.21
"Wild ruminant",-31.12,-33.46
"Wild ruminant",-32.46,-34.11
"Wild ruminant",-28.97,-32.53
"Wild ruminant",-29.05,-32.57
"Wild ruminant",-32.44,-33.74
"Wild ruminant",-32.83,-36.03
"Wild ruminant",-29,-32.4
"Wild ruminant",-24.7,-26.6
