"Sources.x","Concd13C16","Concd13C18","Observaton","Sources.y","d13C16","d13C18"
"Marine",0.176496006903777,0.0416287961905579,1,"Marine",-22.1,-21.77
"Marine",0.149538284194275,0.0343025445613323,2,"Marine",-22.36,-22.19
"Marine",0.168789363743121,0.0198917316560196,3,"Marine",-23.38,-22.76
"Marine",0.132369690245294,0.0686384902066539,4,"Marine",-21.6,-20.97
"Marine",0.145597715112042,0.0167643533022576,5,"Marine",-21.45,-21.09
"Marine",0.134979485629624,0.0220669968539924,6,"Marine",-25.25,-24.91
"Marine",0.211540875376499,-0.0186683644399724,7,"Marine",-26.59,-25.07
"Marine",0.0809906717214499,0.0644782655166879,8,"Marine",-22.58,-22.96
"Marine",0.10368066508519,0.0529226342534892,9,"Marine",-19.39,-20.3
"Marine",0.238712666937361,0.048204395024392,10,"Marine",-24.52,-21.74
"Marine",0.122708309210785,0.0407751978328896,11,"Marine",-24.64,-23.1
"Marine",0.199137501419508,0.0526376823272366,12,"Marine",-23.25,-22.78
"Marine",0.150835501298915,0.0528671251320516,13,"Marine",-24.72,-23.68
"Marine",0.0864681251927916,0.0292386307424626,14,"Marine",-23.26,-23.51
"Marine",0.174141231720805,0.024656407965433,15,"Marine",-25.2,-23.7
"Marine",0.153019099451704,0.0514954482228273,16,"Marine",-22.9,-21.2
"Marine",0.14743713730998,0.0726320147181724,17,"Marine",-24.4,-23.8
"Marine",0.197672653953522,0.0475013062970376,18,"Marine",-19.4,-20
"Marine",0.167058934065358,0.0241983287503154,19,"Marine",-24.9,-23
"Marine",0.155213992813976,-0.00352910564174221,20,"Marine",-24.5,-21.6
"Marine",0.179842617550527,0.0414250564467244,21,"Marine",-23.9,-23.6
"Marine",0.118120029894345,0.0390495658418313,22,"Marine",-24,-25.3
"Marine",0.125652895030918,0.0464989453712607,23,"Marine",-23.7,-22.6
"Marine",0.075855379791216,0.000194235236730331,24,"Marine",-24.6,-23.8
"Marine",0.185023276051981,0.0396303097462608,25,"Marine",-24.9,-25.6
"Marine",0.145625155583972,0.0164439331813222,26,"Marine",-24.6,-22.9
"Marine",0.176034333907399,0.0484246658847122,27,"Marine",-24.7,-23.7
"Marine",0.147467337521721,0.0682595765454539,28,"Marine",-28.01,-28.72
"Marine",0.136314706008073,0.0429143097462822,29,"Marine",-25.22,-26.79
"Marine",0.143446985100539,0.0279117180168452,30,"Marine",-26.01,-27.33
"Marine",0.14229934070703,0.0782071589921887,31,"Marine",-26.74,-26.72
"Marine",0.141610319605282,0.0742930591536653,32,"Marine",-27.64,-27.88
"Marine",0.137289617630068,0.0425387633531433,33,"Marine",-25.83,-26.24
"Marine",0.075035953330375,0.0343460700759215,34,"Marine",-25.02,-23.31
"Marine",0.0973017131694343,0.0261225122333643,35,"Marine",-26.72,-25.28
"Marine",0.100707623442962,0.0149026565000914,36,"Marine",-24.26,-24.64
"Marine",0.182394747993329,0.024356646926335,37,"Marine",-28.57,-29.08
"Marine",0.157268675370056,0.0391904791208486,38,"Marine",-25.76,-24.75
"Marine",0.183599281166318,0.028269617134362,39,"Marine",-24.62,-23.54
"Marine",0.156520599204583,0.0290448270666777,40,"Marine",-26.62,-25.61
"Millet",0.10909453344128,0.0405147368727973,41,"Millet",-19.4080582078885,-18.4173759478885
"Millet",0.136385254389159,0.0262202353401184,42,"Millet",-19.7985859878885,-18.7768512578885
"Millet",0.12200065738993,0.0460464639535664,43,"Millet",-19.4,-19.5
"Millet",0.109406779548949,0.0301090487502415,44,"Millet",-19.5,-20
"Millet",0.143250969785474,0.0242965862107722,45,"Millet",-17.8,-17.4
"Millet",0.132144788293996,0.030719563902312,46,"Millet",-19.5,-20
"Millet",0.113627266021372,0.0529050884120902,47,"Millet",-17.8,-17.4
"Millet",0.128251747907941,0.0280579435261831,48,"Millet",-19.3,-20
"Millet",0.142320489537766,0.0208365532690244,49,"Millet",-17.8,-18.5
"Millet",0.0956988774070861,0.0455592545634151,50,"Millet",-17.3,-18.2
"Millet",0.136823158628091,0.0258071040507125,51,"Millet",-15.1,-15.1
"Millet",0.108990507122897,0.0409244742511833,52,"Millet",-15.6,-16.4
"Millet",0.100632671819642,0.0267456467626846,53,"Millet",-15.5,-14
"Millet",0.107771026793488,0.0269143281332736,54,"Millet",-17.1,-15.7
"Millet",0.123090085048834,0.0418813536187825,55,"Millet",-16.3,-15.9
"Millet",0.105642914468513,0.0132948170772575,56,"Millet",-15,-16.3
"Rice",0.275608585733112,0.0147855861747906,57,"Rice",-35.1,-35.5
"Rice",0.232526351922301,0.0184804960573211,58,"Rice",-34.7,-35.1
"Rice",0.210630273946177,0.0206753856602213,59,"Rice",-34,-33.8
"Rice",0.188033776182767,0.0164808281619579,60,"Rice",-33.5,-33.7
"Rice",0.197062522269463,0.0150617440066576,61,"Rice",-33.1,-33.3
"Rice",0.218629372029525,0.0157736581951779,62,"Rice",-34.3,-33.7
"Rice",0.231475432321211,0.0195706729296357,63,"Rice",-33,-33.2
"Rice",0.224343553501293,0.0155799042622191,64,"Rice",-33.2,-33.7
"Rice",0.156177276424471,0.0195970036421091,65,"Rice",-34.3,-33.8
"Rice",0.149587059479703,0.0175630067825302,66,"Rice",-32.7,-33
"Rice",0.235803899394208,0.0154081254641085,67,"Rice",-32,-32.9
"Rice",0.294445316985868,0.0165787919868649,68,"Rice",-34.1,-33.6
"Rice",0.193784828477571,0.0190588107290089,69,"Rice",-32.8,-33.4
"Rice",0.184708855764825,0.0197223109051344,70,"Rice",-31.4,-32.2
"Rice",0.288360950846069,0.0217254840541246,71,"Rice",-31.7,-32.5
"Rice",0.27973648909385,0.0170836866109282,72,"Rice",-31.2,-31.4
"Rice",0.177540592260587,0.0187335953066118,73,"Rice",-32.5,-32.5
"Rice",0.222952332663348,0.0220425098514344,74,"Rice",-32.8,-34.3
"Rice",0.227042812108082,0.0147744809040972,75,"Rice",-34.1,-35.3
"Rice",0.183967464218875,0.0145940164578579,76,"Rice",-33.6,-33.8
"Rice",0.23271691024217,0.0174802088301119,77,"Rice",-33.9,-34.5
"Rice",0.270356403219077,0.0175150259625905,78,"Rice",-33,-32.7
"Wild ruminant",0.211439446848417,0.235192742615911,79,"Wild ruminant",-28.74,-28.8
"Wild ruminant",0.219491833219463,0.219195994949282,80,"Wild ruminant",-28.58,-30.21
"Wild ruminant",0.190386636736853,0.22204954973597,81,"Wild ruminant",-31.12,-33.46
"Wild ruminant",0.206065599582027,0.231551559599989,82,"Wild ruminant",-32.46,-34.11
"Wild ruminant",0.18114992333366,0.230917312170067,83,"Wild ruminant",-28.97,-32.53
"Wild ruminant",0.21754056191647,0.234123127291547,84,"Wild ruminant",-29.05,-32.57
"Wild ruminant",0.203656226267636,0.272572650590108,85,"Wild ruminant",-32.44,-33.74
"Wild ruminant",0.209401513406519,0.19757548736342,86,"Wild ruminant",-32.83,-36.03
"Wild ruminant",0.182672667943474,0.234844339622099,87,"Wild ruminant",-29,-32.4
"Wild ruminant",0.179237834555293,0.244134490620396,88,"Wild ruminant",-24.7,-26.6
